holy7c26407.rc.fas.harvard.edu
... Running 27
    ... Pulling Data
star is GAIA DR3 6176972663179499648
spectrum file is /n/holyscratch01/conroy_lab/vchandra/mage/MS/ms_input/6176972663179499648.fits
[7000 7000 7000 ... 7000 7000 7000]
    ... GaiaEDR3 Parallax = 9.53293 +/- 0.0486122
    ... SFD Av = 0.151773
    ... Building Phot
    ... Building Spec
spectrum from 5050 to 5299 wavelengths
    ... Building Input Dict
    ... Building Sampler Options
    ... Building Prior Options
    ... Writing to: /n/holyscratch01/conroy_lab/vchandra/mage/MS/ms_input/output/samp_run_27_spec_6176972663179499648_h3.dat
---------------
    Median Spec Flux: 
       546528.1384409412
    Median Spec Err_Flux:
       1921.3596849457083
    Fitting Wavelengths:
       5050.292334365559 -- 5299.87335363952
    Min Resolution of Spectrum: 0.306357
    Max Resolution of Spectrum: 0.321497
    Mean Resolution of Spectrum: 0.313847
    Fitting w/ ANN: LinNet
---------------
    PHOT:
       GaiaEDR3_G = 6.189981937408447 +/- 0.020005773887994238
       GaiaEDR3_BP = 6.1689605712890625 +/- 0.020041337012047186
       GaiaEDR3_RP = 6.188589572906494 +/- 0.020122023325557587
    PRIORS:
       EEP: min=1 max=808
       initial_Mass: min=0.5 max=2.0
       initial_[Fe/H]: min=-4.0 max=0.25
       initial_[a/Fe]: min=-0.2 max=0.6
       Dist: min=99.80984655975054 max=110.5362360815017
       Av: N(0.15177272319048643,0.015177272319048644) [0.0 - 0.7588636159524321]
       Age: min=6.0 max=14.0
       Parallax: N(9.532929311243086,0.048612226)
       Vrad: min=-350.0 max=350.0
       Inst_R: fixed(8000.0)
       Turned on IMF prior
--------------
... fitting spectrum
... Fitting a Blaze function
... Fitting a Blaze function with polyoder: 4
... fitting photometry
... MS sampling pars:
    ... Vrad
    ... Vrot
    ... Dist
    ... Av
    ... EEP
    ... initial_[Fe/H]
    ... initial_[a/Fe]
    ... initial_Mass
    ... pc_0
    ... pc_1
    ... pc_2
    ... pc_3
Using Model: /n/home03/vchandra/software/MS_files/MIST_2.0_spot_EEPtrk_small.h5
Static Dynesty w/ rwalk sampler, 25 walks/slices, 250 number of samples, Ndim = 12, and w/ stopping criteria of dlog(z) = 0.01: 2022-09-20 13:18:19.935809
Max Iter: 9223372036854775807 / Max Call: 9223372036854775807
Start Sampling @ 2022-09-20 13:18:22.410783
iter: 0 | nc: 4 | ncall: 4 | eff(%):  0.394 | logz:   -inf +/-    nan | loglk:   -inf | dlogz:    inf >  0.010   | mean(time):  0.01493 | time: 2022-09-20 13:18:22.470998 
iter: 250 | nc: 25 | ncall: 3146 | eff(%):  7.391 | logz:   -inf +/-    nan | loglk:   -inf | dlogz: 22410714.135 >  0.010   | mean(time):  0.00887 | time: 2022-09-20 13:18:50.330787 
iter: 500 | nc: 25 | ncall: 9432 | eff(%):  5.175 | logz:   -inf +/-    nan | loglk:   -inf | dlogz: 5445661.968 >  0.010   | mean(time):  0.00906 | time: 2022-09-20 13:19:47.302874 
iter: 750 | nc: 25 | ncall: 15722 | eff(%):  4.702 | logz:   -inf +/-    nan | loglk:   -inf | dlogz: 2553447.051 >  0.010   | mean(time):  0.00899 | time: 2022-09-20 13:20:43.850990 
iter: 1000 | nc: 25 | ncall: 21972 | eff(%):  4.505 | logz:   -inf +/-    nan | loglk:   -inf | dlogz: 1368556.600 >  0.010   | mean(time):  0.00900 | time: 2022-09-20 13:21:40.118701 
iter: 1250 | nc: 25 | ncall: 28222 | eff(%):  4.394 | logz: -829914.682 +/-    nan | loglk: -829903.473 | dlogz: 753691.569 >  0.010   | mean(time):  0.00904 | time: 2022-09-20 13:22:36.601516 
iter: 1500 | nc: 25 | ncall: 34485 | eff(%):  4.321 | logz: -497308.685 +/-    nan | loglk: -497296.479 | dlogz: 444687.486 >  0.010   | mean(time):  0.00900 | time: 2022-09-20 13:23:32.982774 
iter: 1750 | nc: 25 | ncall: 40735 | eff(%):  4.272 | logz: -311826.972 +/-    nan | loglk: -311813.767 | dlogz: 271330.446 >  0.010   | mean(time):  0.00901 | time: 2022-09-20 13:24:29.324003 
iter: 2000 | nc: 25 | ncall: 46985 | eff(%):  4.236 | logz: -209106.749 +/-    nan | loglk: -209092.547 | dlogz: 178480.181 >  0.010   | mean(time):  0.00891 | time: 2022-09-20 13:25:25.034303 
iter: 2250 | nc: 25 | ncall: 53235 | eff(%):  4.209 | logz: -135696.799 +/-    nan | loglk: -135681.598 | dlogz: 105351.498 >  0.010   | mean(time):  0.00886 | time: 2022-09-20 13:26:20.413544 
iter: 2500 | nc: 25 | ncall: 59485 | eff(%):  4.187 | logz: -93605.169 +/-    nan | loglk: -93588.970 | dlogz: 76107.808 >  0.010   | mean(time):  0.00883 | time: 2022-09-20 13:27:15.626278 
iter: 2750 | nc: 25 | ncall: 65735 | eff(%):  4.169 | logz: -64844.872 +/-    nan | loglk: -64827.679 | dlogz: 51348.371 >  0.010   | mean(time):  0.00883 | time: 2022-09-20 13:28:10.836783 
iter: 3000 | nc: 25 | ncall: 71985 | eff(%):  4.154 | logz: -45782.302 +/-    nan | loglk: -45764.107 | dlogz: 32561.587 >  0.010   | mean(time):  0.00882 | time: 2022-09-20 13:29:05.961715 
iter: 3250 | nc: 25 | ncall: 78235 | eff(%):  4.142 | logz: -32940.604 +/-    nan | loglk: -32921.412 | dlogz: 20503.781 >  0.010   | mean(time):  0.00898 | time: 2022-09-20 13:30:02.109992 
iter: 3500 | nc: 25 | ncall: 84485 | eff(%):  4.132 | logz: -24918.229 +/-    nan | loglk: -24898.039 | dlogz: 13654.271 >  0.010   | mean(time):  0.00893 | time: 2022-09-20 13:30:57.926470 
iter: 3750 | nc: 25 | ncall: 90735 | eff(%):  4.123 | logz: -19118.003 +/-    nan | loglk: -19096.814 | dlogz: 9632.224 >  0.010   | mean(time):  0.00885 | time: 2022-09-20 13:31:53.231600 
iter: 4000 | nc: 25 | ncall: 96985 | eff(%):  4.115 | logz: -15359.208 +/-    nan | loglk: -15337.051 | dlogz: 7730.024 >  0.010   | mean(time):  0.00885 | time: 2022-09-20 13:32:48.516984 
iter: 4250 | nc: 25 | ncall: 103235 | eff(%):  4.108 | logz: -12522.858 +/-    nan | loglk: -12500.698 | dlogz: 4889.588 >  0.010   | mean(time):  0.00895 | time: 2022-09-20 13:33:44.429943 
iter: 4500 | nc: 25 | ncall: 109485 | eff(%):  4.102 | logz: -10924.829 +/-    nan | loglk: -10900.647 | dlogz: 4265.924 >  0.010   | mean(time):  0.00885 | time: 2022-09-20 13:34:39.761712 
